ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity
1598827200.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827260.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827320.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827380.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827440.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827500.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827560.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827620.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827680.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827740.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827800.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827860.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827920.0,personal_care,132,,,ALONE,,,home,7,3,3
1598827980.0,personal_care,132,,,ALONE,,,home,7,3,3
1598828040.0,personal_care,132,,,ALONE,,,home,7,3,3
1598828100.0,personal_care,132,,,ALONE,,,home,7,3,3
1598828160.0,personal_care,132,,,ALONE,,,home,7,3,3
1598828220.0,personal_care,132,,,ALONE,,,home,7,3,3
1598828280.0,personal_care,132,,,ALONE,,,home,7,3,3
1598828340.0,personal_care,132,,,ALONE,,,home,7,3,3
1598828400.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828460.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828520.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828580.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828640.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828700.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828760.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828820.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828880.0,personal_care,133,,,ALONE,,,home,6,3,3
1598828940.0,personal_care,133,,,ALONE,,,home,6,3,3
1598829000.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,3
1598829060.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,3
1598829120.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829180.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,3
1598829240.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829300.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829360.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829420.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829480.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,3
1598829540.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,3
1598829600.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829660.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829720.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829780.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,4
1598829840.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,2
1598829900.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,2
1598829960.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,2
1598830020.0,travel,82,move_method,1,WITH_MANY,5,1,outdoor,5,4,2
1598830080.0,travel,82,move_method,5,WITH_MANY,5,1,outdoor,4,4,3
1598830140.0,travel,82,move_method,5,WITH_MANY,5,1,outdoor,4,4,4
1598830200.0,travel,82,move_method,5,WITH_MANY,5,1,outdoor,4,4,0
1598830260.0,travel,82,move_method,5,WITH_MANY,5,1,outdoor,4,4,4
1598830320.0,travel,82,move_method,5,WITH_MANY,5,1,outdoor,4,4,4
1598830380.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598830440.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598830500.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598830560.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,3
1598830620.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598830680.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,0
1598830740.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,3
1598830800.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,3
1598830860.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,0
1598830920.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,4
1598830980.0,travel,82,move_method,6,WITH_MANY,5,1,outdoor,3,4,3
