timestamp,value
00.000,33.64
00.015,34.38
00.031,34.39
00.046,34.21
00.062,34.33
00.078,34.92
00.093,35.8
00.109,36.49
00.125,36.42
00.140,35.1
00.156,32.31
00.171,28.11
00.187,22.68
00.203,16.19
00.218,8.71
00.234,0.25
00.250,-9.16
00.265,-19.32
00.281,-29.78
00.296,-39.92
00.312,-48.99
00.328,-56.19
00.343,-60.79
00.359,-62.22
00.375,-60.21
00.390,-54.95
00.406,-47.13
00.421,-37.8
00.437,-28.1
00.453,-19.0
00.468,-11.03
00.484,-4.32
00.500,1.32
00.515,6.2
00.531,10.56
00.546,14.56
00.562,18.24
00.578,21.58
00.593,24.5
00.609,26.91
00.625,28.73
00.640,29.98
00.656,30.73
00.671,31.02
00.687,30.8
00.703,29.74
00.718,27.34
00.734,23.05
00.750,16.55
00.765,7.91
00.781,-2.3
00.796,-13.09
00.812,-23.27
00.828,-31.75
00.843,-37.75
00.859,-40.98
00.875,-41.58
00.890,-40.04
00.906,-36.89
00.921,-32.64
00.937,-27.49
00.953,-21.48
00.968,-14.59
00.984,-6.8
01.000,1.58
01.015,10.08
01.031,17.94
01.046,24.53
01.062,29.44
01.078,32.75
01.093,34.93
01.109,36.68
01.125,38.59
01.140,40.88
01.156,43.35
01.171,45.47
01.187,46.65
01.203,46.55
01.218,45.09
01.234,42.45
01.250,38.83
01.265,34.3
01.281,28.8
01.296,22.2
01.312,14.47
01.328,5.78
01.343,-3.5
01.359,-12.85
01.375,-21.68
01.390,-29.45
01.406,-35.65
01.421,-39.94
01.437,-42.09
01.453,-42.16
01.468,-40.47
01.484,-37.6
01.500,-34.17
01.515,-30.66
01.531,-27.23
01.546,-23.67
01.562,-19.56
01.578,-14.52
01.593,-8.42
01.609,-1.41
01.625,6.14
01.640,13.84
01.656,21.36
01.671,28.54
01.687,35.32
01.703,41.58
01.718,47.14
01.734,51.62
01.750,54.62
01.765,55.77
01.781,54.88
01.796,51.92
01.812,47.0
01.828,40.19
01.843,31.45
01.859,20.7
01.875,8.09
01.890,-5.84
01.906,-20.06
01.921,-33.15
01.937,-43.72
01.953,-50.72
01.968,-53.74
01.984,-53.01
02.000,-49.24
02.015,-43.4
02.031,-36.57
02.046,-29.76
02.062,-23.8
02.078,-19.15
02.093,-15.84
02.109,-13.45
02.125,-11.25
02.140,-8.48
02.156,-4.56
02.171,0.69
02.187,7.13
02.203,14.3
02.218,21.67
02.234,28.68
02.250,34.88
02.265,39.89
02.281,43.41
02.296,45.17
02.312,45.03
02.328,42.95
02.343,39.07
02.359,33.73
02.375,27.45
02.390,20.9
02.406,14.72
02.421,9.47
02.437,5.52
02.453,3.1
02.468,2.26
02.484,3.04
02.500,5.43
02.515,9.35
02.531,14.66
02.546,21.02
02.562,27.9
02.578,34.65
02.593,40.67
02.609,45.51
02.625,49.01
02.640,51.33
02.656,52.85
02.671,54.19
02.687,56.05
02.703,59.11
02.718,63.97
02.734,70.98
02.750,80.1
02.765,90.83
02.781,102.17
02.796,112.64
02.812,120.67
02.828,124.84
02.843,124.33
02.859,119.14
02.875,110.08
02.890,98.33
02.906,84.98
02.921,70.59
02.937,55.1
02.953,38.07
02.968,19.17
02.984,-1.54
03.000,-23.48
03.015,-45.82
03.031,-67.68
03.046,-88.19
03.062,-106.35
03.078,-121.0
03.093,-130.92
03.109,-135.39
03.125,-134.6
03.140,-129.87
03.156,-123.29
03.171,-116.88
03.187,-111.87
03.203,-108.26
03.218,-105.13
03.234,-101.29
03.250,-95.98
03.265,-89.11
03.281,-81.11
03.296,-72.42
03.312,-63.21
03.328,-53.33
03.343,-42.65
03.359,-31.39
03.375,-20.29
03.390,-10.49
03.406,-3.29
03.421,0.29
03.437,-0.28
03.453,-5.03
03.468,-13.42
03.484,-24.49
03.500,-36.9
03.515,-49.14
03.531,-59.69
03.546,-67.36
03.562,-71.49
03.578,-72.01
03.593,-69.34
03.609,-64.27
03.625,-57.67
03.640,-50.48
03.656,-43.57
03.671,-37.67
03.687,-33.22
03.703,-30.4
03.718,-29.03
03.734,-28.78
03.750,-29.21
03.765,-29.94
03.781,-30.67
03.796,-31.23
03.812,-31.5
03.828,-31.4
03.843,-30.82
03.859,-29.62
03.875,-27.56
03.890,-24.4
03.906,-19.98
03.921,-14.38
03.937,-7.93
03.953,-1.16
03.968,5.35
03.984,11.1
04.000,15.77
04.015,19.17
04.031,21.28
04.046,22.21
04.062,22.23
04.078,21.81
04.093,21.56
04.109,22.04
04.125,23.53
04.140,25.97
04.156,28.84
04.171,31.44
04.187,33.08
04.203,33.35
04.218,32.3
04.234,30.37
04.250,28.18
04.265,26.31
04.281,25.12
04.296,24.64
04.312,24.67
04.328,24.88
04.343,25.03
04.359,24.92
04.375,24.51
04.390,23.9
04.406,23.32
04.421,23.15
04.437,23.72
04.453,25.21
04.468,27.44
04.484,29.86
04.500,31.76
04.515,32.39
04.531,31.31
04.546,28.42
04.562,23.87
04.578,17.87
04.593,10.62
04.609,2.37
04.625,-6.46
04.640,-15.09
04.656,-22.41
04.671,-27.31
04.687,-29.09
04.703,-27.8
04.718,-24.31
04.734,-19.98
04.750,-16.17
04.765,-13.75
04.781,-12.91
04.796,-13.23
04.812,-14.04
04.828,-14.78
04.843,-15.22
04.859,-15.45
04.875,-15.72
04.890,-16.28
04.906,-17.27
04.921,-18.72
04.937,-20.58
04.953,-22.75
04.968,-25.09
04.984,-27.39
05.000,-29.41
05.015,-30.91
05.031,-31.68
05.046,-31.62
05.062,-30.76
05.078,-29.18
05.093,-27.02
05.109,-24.34
05.125,-21.16
05.140,-17.46
