timestamp,hr
00.000,73.8
01.000,73.78
02.000,73.72
03.000,73.6
04.000,73.42
05.000,73.3
06.000,73.18
07.000,73.08
08.000,72.97
09.000,72.88
10.000,72.82
11.000,72.77
12.000,72.75
13.000,72.72
14.000,72.68
15.000,72.7
16.000,72.67
17.000,72.63
18.000,72.55
19.000,72.47
20.000,72.37
21.000,72.28
22.000,72.2
23.000,72.15
24.000,72.13
25.000,72.13
26.000,72.15
27.000,72.17
28.000,72.2
29.000,72.22
30.000,72.23
31.000,72.27
32.000,72.32
33.000,72.32
34.000,72.25
35.000,72.17
36.000,72.07
37.000,72.18
38.000,72.3
39.000,72.38
40.000,72.47
41.000,72.77
42.000,73.02
43.000,73.17
44.000,73.37
45.000,73.53
46.000,73.73
47.000,73.98
48.000,74.25
49.000,74.55
50.000,74.83
51.000,75.12
52.000,75.37
53.000,75.6
54.000,75.82
55.000,76.02
56.000,76.2
57.000,76.47
58.000,76.75
59.000,77.05
