timestamp,lat,lon,accuracy
05,37.4869814,126.8534928,13.604
10,37.4869889,126.8534922,13.984
15,37.4869792,126.8534955,13.698
20,37.4869773,126.8534987,14.435
25,37.4869866,126.8535021,14.261
28,37.4869912,126.8535035,12.875
31,37.4869971,126.8535063,12.466
33,37.4870038,126.8535065,12.608
40,37.4869914,126.8534967,13.913
43,37.4869804,126.8534872,13.2
46,37.4869765,126.8535005,13.653
50,37.4869715,126.8534882,13.323
53,37.4869689,126.8534877,13.01
56,37.4869805,126.8534918,13.91
