timestamp,x,y,z
00.009,18.72,21.66,-12.059999
00.049,18.119999,21.359999,-12.0
00.072,18.359999,21.119999,-11.7
00.112,17.76,21.42,-11.58
00.153,16.98,20.939999,-11.88
00.169,17.4,21.3,-12.059999
00.213,18.359999,21.42,-11.639999
00.247,18.0,21.3,-11.94
00.287,18.539999,21.72,-12.0
00.307,18.66,21.9,-11.88
00.348,17.76,21.9,-12.36
00.391,18.119999,21.24,-11.82
00.414,18.24,21.42,-12.24
00.451,17.46,21.0,-12.599999
00.471,17.88,21.359999,-12.66
00.512,18.6,21.42,-10.98
00.550,18.66,21.72,-12.84
00.591,18.84,21.18,-12.059999
00.609,18.66,20.939999,-12.24
00.650,18.3,21.539999,-11.58
00.690,18.359999,21.42,-11.759999
00.711,18.48,21.359999,-11.4
00.751,17.76,21.42,-11.099999
00.773,18.359999,21.24,-11.5199995
00.813,18.3,20.64,-11.94
00.851,18.18,21.24,-10.8
00.891,18.119999,21.24,-12.0
00.912,18.06,21.06,-11.82
00.951,18.3,21.0,-12.599999
00.994,18.0,21.66,-12.3
01.012,17.58,21.539999,-12.48
01.054,17.94,21.06,-12.42
01.096,18.119999,21.66,-12.9
01.113,18.539999,21.3,-12.78
01.152,18.359999,21.84,-11.5199995
01.192,18.3,22.08,-11.5199995
01.212,17.699999,22.02,-12.179999
01.249,18.359999,21.0,-12.9
01.289,18.66,22.26,-11.82
01.332,18.0,22.02,-12.36
01.352,18.9,21.84,-12.059999
01.392,18.119999,21.119999,-11.7
01.412,18.48,21.18,-11.219999
01.453,17.88,21.359999,-12.42
01.491,18.3,20.88,-12.059999
01.534,17.64,21.24,-12.12
01.551,17.699999,21.3,-12.54
01.593,18.6,22.199999,-11.5199995
01.614,18.6,21.6,-11.5199995
01.654,18.119999,22.02,-11.34
01.694,18.66,21.779999,-11.099999
01.714,18.3,21.119999,-11.5199995
01.751,18.119999,21.359999,-11.94
01.791,18.119999,21.0,-11.219999
01.834,18.42,20.88,-12.059999
01.851,18.42,20.76,-12.179999
01.892,18.72,21.66,-11.94
01.932,18.48,21.539999,-11.4
01.953,17.82,21.779999,-11.5199995
01.992,18.18,21.6,-11.7
02.032,17.82,22.02,-11.88
02.051,17.58,21.24,-12.48
02.090,18.359999,21.84,-12.179999
02.132,18.42,21.6,-11.4
02.177,18.06,21.6,-11.759999
02.190,18.119999,21.96,-11.639999
02.228,18.24,22.14,-12.179999
02.268,18.359999,21.66,-11.099999
02.289,18.6,21.9,-11.5199995
02.329,18.48,21.96,-12.179999
02.370,18.06,21.48,-11.5199995
02.391,18.539999,21.359999,-12.24
02.433,18.119999,21.359999,-11.759999
02.471,17.76,21.42,-12.059999
02.492,18.66,21.6,-11.7
02.532,18.66,21.48,-12.36
02.575,18.359999,21.9,-11.94
02.592,18.18,22.14,-11.4
02.632,19.26,22.32,-11.88
02.674,18.24,21.42,-11.88
02.694,17.94,21.359999,-12.12
02.733,19.08,21.3,-11.099999
02.772,17.52,21.539999,-12.3
02.793,17.82,21.72,-11.94
02.833,17.76,20.939999,-11.099999
02.873,18.539999,22.08,-11.34
02.893,18.18,21.66,-11.34
02.932,17.699999,21.18,-11.94
02.972,18.119999,21.42,-11.759999
02.991,18.119999,21.48,-11.88
03.034,18.0,21.119999,-12.599999
03.072,18.359999,21.48,-11.82
03.092,18.359999,21.3,-11.94
03.132,19.08,21.0,-12.179999
03.173,18.359999,19.92,-12.599999
03.193,18.359999,21.3,-11.58
03.230,18.06,21.42,-11.46
03.271,17.58,22.199999,-11.219999
03.311,18.18,21.42,-11.639999
03.331,17.88,21.6,-11.46
03.373,18.539999,21.779999,-11.82
03.394,18.359999,21.42,-11.82
03.433,18.42,21.779999,-11.5199995
