,ts,action,img_path,user_x,lat,lon
7,1600764900.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600764900.png,user02,37.52151843333333,127.03271143333332
13,1600764900.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600764900.png,user04,37.47769240833333,127.12238735833336
21,1600250280.0,travel,./ETRI_data_RP_png/user04/1600207800/RP/1600250280.png,user04,37.475682160000005,127.1278829
25,1599736440.0,household,./ETRI_data_RP_png/user04/1599690000/RP/1599736440.png,user04,37.43501088,127.13881285
38,1600650540.0,work,./ETRI_data_RP_png/user04/1600640400/RP/1600650540.png,user04,37.47784239166666,127.12232900833334
42,1600650540.0,work,./ETRI_data_RP_png/user02/1600614000/RP/1600650540.png,user02,37.52151694444444,127.03268736666664
50,1599734160.0,meal,./ETRI_data_RP_png/user04/1599690000/RP/1599734160.png,user04,37.43495269090909,127.1388731818182
52,1598939100.0,work,./ETRI_data_RP_png/user02/1598886000/RP/1598939100.png,user02,37.52157474444445,127.03277246666669
70,1599105180.0,meal,./ETRI_data_RP_png/user04/1599085500/RP/1599105180.png,user04,37.478068246153846,127.12115411538464
73,1599105180.0,meal,./ETRI_data_RP_png/user02/1599058800/RP/1599105180.png,user02,37.52327991,127.02838497
87,1600059840.0,work,./ETRI_data_RP_png/user04/1600035000/RP/1600059840.png,user04,37.477682916666666,127.12279063333337
90,1598831100.0,personal_care,./ETRI_data_RP_png/user04/1598828400/RP/1598831100.png,user04,37.43493261818182,127.13882560000002
99,1599968580.0,travel,./ETRI_data_RP_png/user04/1599957060/RP/1599968580.png,user04,37.435006025,127.13845220833332
103,1599968580.0,study,./ETRI_data_RP_png/user02/1599922800/RP/1599968580.png,user02,37.5297575,127.03755205384616
109,1600776180.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600776180.png,user04,37.47770847500001,127.12257058333334
131,1599822300.0,outdoor_act,./ETRI_data_RP_png/user04/1599776160/RP/1599822300.png,user04,37.43498945833333,127.13832775833332
139,1600666380.0,work,./ETRI_data_RP_png/user04/1600640400/RP/1600666380.png,user04,37.4778574,127.12246225833331
147,1601005080.0,meal,./ETRI_data_RP_png/user02/1600961640/RP/1601005080.png,user02,37.52178366666667,127.03157133333332
156,1601005080.0,meal,./ETRI_data_RP_png/user04/1600986000/RP/1601005080.png,user04,37.46381563333333,127.12695903333334
166,1599298800.0,recreation_etc,./ETRI_data_RP_png/user04/1599261300/RP/1599298800.png,user04,35.14207780833333,126.79404545
179,1600932600.0,work,./ETRI_data_RP_png/user04/1600899900/RP/1600932600.png,user04,37.47768873333333,127.122369
183,1600488000.0,socialising,./ETRI_data_RP_png/user04/1600470000/RP/1600488000.png,user04,37.43496171818183,127.13888096363635
196,1600745640.0,meal,./ETRI_data_RP_png/user02/1600700400/RP/1600745640.png,user02,37.521602050000006,127.031103525
206,1601099700.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601099700.png,user04,37.43496983333333,127.13887019166664
209,1601099700.0,personal_care,./ETRI_data_RP_png/user02/1601046000/RP/1601099700.png,user02,37.5297844,127.03757638333332
214,1599380700.0,entertainment,./ETRI_data_RP_png/user12/1599345000/RP/1599380700.png,user12,37.219127605,128.355848665
219,1599380700.0,recreation_etc,./ETRI_data_RP_png/user04/1599347400/RP/1599380700.png,user04,37.43494912727273,127.13888667272728
222,1599531360.0,travel,./ETRI_data_RP_png/user04/1599522960/RP/1599531360.png,user04,37.491432235000005,127.03799803999998
230,1599189960.0,work,./ETRI_data_RP_png/user04/1599174600/RP/1599189960.png,user04,37.48532956,127.10914402
237,1599721740.0,work,./ETRI_data_RP_png/user04/1599690000/RP/1599721740.png,user04,37.47773912500001,127.12238333333336
240,1600576620.0,work,./ETRI_data_RP_png/user04/1600558200/RP/1600576620.png,user04,37.43492639090909,127.13885804545455
253,1600165500.0,shop,./ETRI_data_RP_png/user06/1600095600/RP/1600165500.png,user06,37.462381058333335,127.036603625
256,1600165500.0,household,./ETRI_data_RP_png/user04/1600122300/RP/1600165500.png,user04,37.4349495,127.13887875454544
272,1600506420.0,meal,./ETRI_data_RP_png/user04/1600470000/RP/1600506420.png,user04,37.43493042727273,127.13886603636364
292,1600575780.0,work,./ETRI_data_RP_png/user04/1600558200/RP/1600575780.png,user04,37.43493465384615,127.13885826153845
300,1600758480.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600758480.png,user04,37.47770404166667,127.12244964166668
303,1600758480.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600758480.png,user02,37.5215184125,127.032704175
308,1600584540.0,recreation_etc,./ETRI_data_RP_png/user04/1600558200/RP/1600584540.png,user04,37.434865415,127.1389675
316,1599122340.0,work,./ETRI_data_RP_png/user04/1599085500/RP/1599122340.png,user04,37.47777119166666,127.12260654166668
321,1599303420.0,meal,./ETRI_data_RP_png/user04/1599261300/RP/1599303420.png,user04,35.140503120000005,126.79344446500002
329,1599053700.0,personal_care,./ETRI_data_RP_png/user04/1599001800/RP/1599053700.png,user04,37.43495416363636,127.13886410909092
342,1600767180.0,meal,./ETRI_data_RP_png/user04/1600726800/RP/1600767180.png,user04,37.477808190000005,127.12325445
346,1600767180.0,meal,./ETRI_data_RP_png/user02/1600700400/RP/1600767180.png,user02,37.519949446153845,127.03158063846156
359,1599270600.0,travel,./ETRI_data_RP_png/user04/1599261300/RP/1599270600.png,user04,36.10297224,127.01787219
375,1600677780.0,work,./ETRI_data_RP_png/user04/1600640400/RP/1600677780.png,user04,37.47769495833334,127.12252076666664
377,1601541720.0,personal_care,./ETRI_data_RP_png/user06/1601478000/RP/1601541720.png,user06,37.513682675,127.04581684999998
389,1599041220.0,household,./ETRI_data_RP_png/user04/1599001800/RP/1599041220.png,user04,37.43491029166666,127.13887333333332
392,1599041220.0,work,./ETRI_data_RP_png/user02/1598972400/RP/1599041220.png,user02,37.52180845,127.03262340833334
395,1599357600.0,work,./ETRI_data_RP_png/user04/1599347400/RP/1599357600.png,user04,37.43493812727272,127.13887458181816
400,1599357600.0,entertainment,./ETRI_data_RP_png/user12/1599345000/RP/1599357600.png,user12,37.53070028235294,127.2064198764706
405,1599448740.0,outdoor_act,./ETRI_data_RP_png/user04/1599430860/RP/1599448740.png,user04,37.47942845,127.11836253125
430,1600858860.0,outdoor_act,./ETRI_data_RP_png/user04/1600816860/RP/1600858860.png,user04,37.4812158,127.14260130833333
435,1599970860.0,socialising,./ETRI_data_RP_png/user04/1599957060/RP/1599970860.png,user04,37.43494869166666,127.138888825
446,1599970860.0,recreation_media,./ETRI_data_RP_png/user02/1599922800/RP/1599970860.png,user02,37.52976891666667,127.037561875
454,1600735920.0,work,./ETRI_data_RP_png/user02/1600700400/RP/1600735920.png,user02,37.521526566666665,127.03269335555557
466,1600735920.0,personal_care,./ETRI_data_RP_png/user06/1600734060/RP/1600735920.png,user06,37.51366852500001,127.04585095999998
475,1600735920.0,work,./ETRI_data_RP_png/user04/1600726800/RP/1600735920.png,user04,37.4777160888889,127.1224368
484,1598927340.0,work,./ETRI_data_RP_png/user04/1598912400/RP/1598927340.png,user04,37.47774790833333,127.12246410833336
488,1599133740.0,outdoor_act,./ETRI_data_RP_png/user04/1599085500/RP/1599133740.png,user04,37.432327,127.13773408
496,1600651500.0,work,./ETRI_data_RP_png/user04/1600640400/RP/1600651500.png,user04,37.47766550833333,127.12227925
500,1600651500.0,work,./ETRI_data_RP_png/user02/1600614000/RP/1600651500.png,user02,37.521517977777776,127.03270913333331
505,1600135800.0,travel,./ETRI_data_RP_png/user04/1600122300/RP/1600135800.png,user04,37.54745305,127.072142365
509,1600850460.0,work,./ETRI_data_RP_png/user02/1600786800/RP/1600850460.png,user02,37.52151643333334,127.03270662222222
520,1600850460.0,work,./ETRI_data_RP_png/user04/1600816860/RP/1600850460.png,user04,37.477696925,127.12248296666668
524,1600588200.0,recreation_media,./ETRI_data_RP_png/user04/1600558200/RP/1600588200.png,user04,37.43499705,127.1388848
526,1600588200.0,entertainment,./ETRI_data_RP_png/user12/1600554660/RP/1600588200.png,user12,37.61416249999999,126.92781991
547,1600867320.0,socialising,./ETRI_data_RP_png/user04/1600816860/RP/1600867320.png,user04,37.434933425,127.13886435
550,1600648680.0,work,./ETRI_data_RP_png/user02/1600614000/RP/1600648680.png,user02,37.52151433333333,127.0327012888889
555,1600648680.0,work,./ETRI_data_RP_png/user04/1600640400/RP/1600648680.png,user04,37.4777485,127.12271076666669
564,1599460260.0,work,./ETRI_data_RP_png/user04/1599430860/RP/1599460260.png,user04,37.477700641666665,127.12278433333334
568,1600988220.0,personal_care,./ETRI_data_RP_png/user04/1600986000/RP/1600988220.png,user04,37.43511897692308,127.13827093846156
587,1600328700.0,work,./ETRI_data_RP_png/user04/1600294800/RP/1600328700.png,user04,37.434920075,127.13885694166667
599,1600911300.0,work,./ETRI_data_RP_png/user04/1600899900/RP/1600911300.png,user04,37.47766692,127.1222807
607,1600342500.0,work,./ETRI_data_RP_png/user04/1600294800/RP/1600342500.png,user04,37.477716925,127.1224736
625,1598875740.0,outdoor_act,./ETRI_data_RP_png/user04/1598828400/RP/1598875740.png,user04,37.43389326666667,127.13725791428573
629,1599697380.0,shop,./ETRI_data_RP_png/user12/1599690600/RP/1599697380.png,user12,37.614313375,126.92721466875
634,1599697380.0,work,./ETRI_data_RP_png/user04/1599690000/RP/1599697380.png,user04,37.47771639999999,127.12271941666668
635,1601106300.0,shop,./ETRI_data_RP_png/user12/1601076000/RP/1601106300.png,user12,37.55491323333334,127.0078374
642,1601106300.0,socialising,./ETRI_data_RP_png/user04/1601079300/RP/1601106300.png,user04,37.43497575833333,127.138896925
653,1601106300.0,travel,./ETRI_data_RP_png/user02/1601046000/RP/1601106300.png,user02,37.52566779166666,127.02505910833334
660,1599030300.0,work,./ETRI_data_RP_png/user04/1599001800/RP/1599030300.png,user04,37.47763923076923,127.12305374615384
665,1600235100.0,work,./ETRI_data_RP_png/user04/1600207800/RP/1600235100.png,user04,37.47768170833333,127.12236554166664
670,1601095380.0,recreation_media,./ETRI_data_RP_png/user04/1601079300/RP/1601095380.png,user04,37.43496476666667,127.13888611666668
679,1601095380.0,recreation_media,./ETRI_data_RP_png/user02/1601046000/RP/1601095380.png,user02,37.52990095833333,127.03767354166668
691,1601095380.0,personal_care,./ETRI_data_RP_png/user06/1601046000/RP/1601095380.png,user06,37.51360974999999,127.045773845
700,1601037300.0,socialising,./ETRI_data_RP_png/user04/1600986000/RP/1601037300.png,user04,37.48125278333333,127.14246188333334
707,1599647220.0,entertainment,./ETRI_data_RP_png/user11/1599577260/RP/1599647220.png,user11,37.484602965,126.981591495
721,1600341240.0,work,./ETRI_data_RP_png/user04/1600294800/RP/1600341240.png,user04,37.47794772941176,127.12287142941176
729,1600160640.0,work,./ETRI_data_RP_png/user04/1600122300/RP/1600160640.png,user04,37.4778186625,127.12288739375
742,1600493760.0,work,./ETRI_data_RP_png/user04/1600470000/RP/1600493760.png,user04,37.434934258333335,127.13885673333334
762,1600601520.0,study,./ETRI_data_RP_png/user02/1600592340/RP/1600601520.png,user02,37.52977831538461,127.03751950769232
767,1600601520.0,outdoor_act,./ETRI_data_RP_png/user04/1600558200/RP/1600601520.png,user04,37.433460875,127.13634143999998
780,1601093760.0,personal_care,./ETRI_data_RP_png/user06/1601046000/RP/1601093760.png,user06,37.513614110000006,127.045692515
793,1601093760.0,recreation_media,./ETRI_data_RP_png/user02/1601046000/RP/1601093760.png,user02,37.52983615,127.03759691666669
