,ts,action,img_path
23440,1600662780.0,work,./train/data/user03/1600635600/RP/1600662780.png
39052,1600233000.0,work,./train/data/user04/1600207800/RP/1600233000.png
7822,1601185320.0,meal,./train/data/user01/1601166300/RP/1601185320.png
7463,1601128920.0,recreation_media,./train/data/user01/1601085900/RP/1601128920.png
15779,1599108300.0,work,./train/data/user03/1599058980/RP/1599108300.png
32788,1599361560.0,socialising,./train/data/user04/1599347400/RP/1599361560.png
29029,1598919840.0,work,./train/data/user04/1598912400/RP/1598919840.png
28976,1598954760.0,household,./train/data/user04/1598912400/RP/1598954760.png
35,1598878440.0,study,./train/data/user01/1598832660/RP/1598878440.png
7447,1601105520.0,sleep,./train/data/user01/1601085900/RP/1601105520.png
28538,1598846460.0,travel,./train/data/user04/1598828400/RP/1598846460.png
15665,1599101040.0,meal,./train/data/user03/1599058980/RP/1599101040.png
22864,1600601520.0,meal,./train/data/user03/1600533000/RP/1600601520.png
12951,1600819860.0,work,./train/data/user02/1600786800/RP/1600819860.png
6105,1600617120.0,recreation_media,./train/data/user01/1600614000/RP/1600617120.png
16707,1599388680.0,recreation_media,./train/data/user03/1599328800/RP/1599388680.png
37765,1600050960.0,work,./train/data/user04/1600035000/RP/1600050960.png
10644,1599903840.0,sleep,./train/data/user02/1599893100/RP/1599903840.png
20659,1600237320.0,work,./train/data/user03/1600192800/RP/1600237320.png
13114,1600820700.0,work,./train/data/user02/1600786800/RP/1600820700.png
34985,1599692940.0,travel,./train/data/user04/1599690000/RP/1599692940.png
17375,1599574920.0,recreation_etc,./train/data/user03/1599510360/RP/1599574920.png
30224,1599093480.0,work,./train/data/user04/1599085500/RP/1599093480.png
12955,1600832160.0,meal,./train/data/user02/1600786800/RP/1600832160.png
12924,1600820400.0,work,./train/data/user02/1600786800/RP/1600820400.png
38956,1600152480.0,work,./train/data/user04/1600122300/RP/1600152480.png
46156,1601015520.0,work,./train/data/user04/1600986000/RP/1601015520.png
37914,1600073940.0,work,./train/data/user04/1600035000/RP/1600073940.png
4237,1600325220.0,travel,./train/data/user01/1600315920/RP/1600325220.png
21551,1600436520.0,recreation_etc,./train/data/user03/1600371000/RP/1600436520.png
41941,1600589760.0,recreation_media,./train/data/user04/1600558200/RP/1600589760.png
