userId,date,amPm,startInput,endInput,sleep,sleepProblem,dream,amCondition,amEmotion,pmEmotion,pmStress,pmFatigue,caffeine,cAmount(ml),alcohol,aAmount(ml)
user24,2020-08-29,am,2020-08-29 21:23,2020-08-29 21:23,4,0,3,3,4,,,,,,,
user24,2020-08-29,pm,2020-08-29 21:23,2020-08-29 21:23,,,,,,4,4,2,,,,
user24,2020-08-30,am,2020-08-30 7:41,2020-08-30 7:41,3,2,2,2,3,,,,,,,
user24,2020-08-30,pm,2020-08-30 22:43,2020-08-30 22:43,,,,,,4,5,2,coffee,200,,
user24,2020-08-31,am,2020-08-31 7:23,2020-08-31 7:24,3,2,2,3,3,,,,,,,
user24,2020-08-31,pm,2020-08-31 21:19,2020-08-31 21:19,,,,,,4,2,4,coffee,200,,
user24,2020-09-01,am,2020-09-01 6:20,2020-09-01 6:20,4,0,4,4,3,,,,,,,
user24,2020-09-01,pm,2020-09-01 21:45,2020-09-01 21:45,,,,,,5,4,3,coffee,150,,
user24,2020-09-02,am,2020-09-02 9:02,2020-09-02 9:02,4,0,4,2,4,,,,,,,
user24,2020-09-02,pm,2020-09-02 21:38,2020-09-02 21:39,,,,,,4,4,2,,,,
user24,2020-09-03,am,2020-09-03 7:33,2020-09-03 7:33,4,0,2,2,3,,,,,,,
user24,2020-09-03,pm,2020-09-03 22:08,2020-09-03 22:09,,,,,,3,2,2,coffee,200,,
user24,2020-09-04,am,2020-09-04 6:21,2020-09-04 6:22,3,0,2,2,3,,,,,,,
user24,2020-09-04,pm,2020-09-04 21:57,2020-09-04 21:58,,,,,,5,4,2,coffee,100,,
user24,2020-09-05,am,2020-09-05 12:08,2020-09-05 12:08,4,0,3,3,5,,,,,,,
user24,2020-09-05,pm,2020-09-05 23:40,2020-09-05 23:40,,,,,,5,5,2,,,,
user24,2020-09-06,am,2020-09-06 9:00,2020-09-06 9:00,4,0,2,2,3,,,,,,,
user24,2020-09-06,pm,2020-09-06 22:52,2020-09-06 22:52,,,,,,2,1,2,coffee,250,,
user24,2020-09-07,am,2020-09-07 6:38,2020-09-07 6:38,4,1,2,4,3,,,,,,,
user24,2020-09-07,pm,2020-09-07 22:07,2020-09-07 22:07,,,,,,4,2,2,coffee,200,,
user24,2020-09-08,am,2020-09-08 7:12,2020-09-08 7:13,4,0,4,1,4,,,,,,,
user24,2020-09-08,pm,2020-09-08 22:09,2020-09-08 22:10,,,,,,4,2,1,,,,
user24,2020-09-09,am,2020-09-09 8:20,2020-09-09 8:21,3,0,2,2,4,,,,,,,
user24,2020-09-09,pm,2020-09-09 21:18,2020-09-09 21:19,,,,,,3,3,1,,,,
user24,2020-09-10,am,2020-09-10 8:16,2020-09-10 8:16,4,0,4,3,4,,,,,,,
user24,2020-09-10,pm,2020-09-10 23:13,2020-09-10 23:14,,,,,,4,4,2,,,,
user24,2020-09-11,am,2020-09-11 7:01,2020-09-11 7:01,4,0,4,2,3,,,,,,,
user24,2020-09-11,pm,2020-09-11 22:09,2020-09-11 22:09,,,,,,5,2,3,coffee,150,,
user24,2020-09-12,am,2020-09-12 9:47,2020-09-12 9:47,3,5,2,2,4,,,,,,,
user24,2020-09-12,pm,2020-09-12 23:06,2020-09-12 23:06,,,,,,4,5,2,coffee,100,,
user24,2020-09-13,am,2020-09-13 17:05,2020-09-13 17:06,4,0,2,2,4,,,,,,,
user24,2020-09-13,pm,2020-09-14 0:13,2020-09-14 0:13,,,,,,5,2,2,,,,
user24,2020-09-14,am,2020-09-14 7:25,2020-09-14 7:25,4,0,2,2,3,,,,,,,
user24,2020-09-14,pm,2020-09-14 22:10,2020-09-14 22:13,,,,,,5,2,3,coffee,250,,
user24,2020-09-15,am,2020-09-15 20:10,2020-09-15 20:11,3,2,2,2,2,,,,,,,
user24,2020-09-15,pm,2020-09-15 20:10,2020-09-15 20:11,,,,,,3,2,2,,,,
user24,2020-09-16,am,2020-09-16 20:46,2020-09-16 20:46,4,0,2,3,4,,,,,,,
user24,2020-09-16,pm,2020-09-16 20:46,2020-09-16 20:46,,,,,,4,2,2,,,,
user24,2020-09-17,am,2020-09-17 21:02,2020-09-17 21:02,4,0,2,4,3,,,,,,,
user24,2020-09-17,pm,2020-09-17 21:02,2020-09-17 21:02,,,,,,3,2,1,coffee,150,,
user24,2020-09-18,am,2020-09-18 19:21,2020-09-18 19:22,3,0,2,1,3,,,,,,,
user24,2020-09-18,pm,2020-09-18 19:21,2020-09-18 19:22,,,,,,3,1,1,,,,
user24,2020-09-19,am,2020-09-19 18:44,2020-09-19 18:44,3,0,2,2,3,,,,,,,
user24,2020-09-19,pm,2020-09-19 18:44,2020-09-19 18:44,,,,,,3,4,1,,,,
user24,2020-09-20,am,2020-09-20 17:49,2020-09-20 17:49,4,0,2,3,4,,,,,,,
user24,2020-09-20,pm,2020-09-20 22:13,2020-09-20 22:14,,,,,,4,4,2,,,,
user24,2020-09-21,am,2020-09-21 19:53,2020-09-21 19:54,3,0,2,2,2,,,,,,,
user24,2020-09-21,pm,2020-09-21 19:53,2020-09-21 19:54,,,,,,4,1,3,coffee,100,,
user24,2020-09-22,am,2020-09-22 7:25,2020-09-22 7:26,4,2,2,2,3,,,,,,,
user24,2020-09-22,pm,2020-09-24 0:39,2020-09-24 0:39,,,,,,3,2,2,,,,
user24,2020-09-23,am,2020-09-23 11:50,2020-09-23 11:50,4,0,2,2,4,,,,,,,
user24,2020-09-23,pm,2020-09-23 23:52,2020-09-23 23:53,,,,,,2,1,2,coffee,200,,
user24,2020-09-24,am,2020-09-24 20:41,2020-09-24 20:41,3,0,2,2,3,,,,,,,
user24,2020-09-24,pm,2020-09-24 20:41,2020-09-24 20:41,,,,,,1,1,3,,,,
user24,2020-09-25,am,2020-09-25 23:13,2020-09-25 23:13,3,0,2,2,2,,,,,,,
user24,2020-09-25,pm,2020-09-25 23:13,2020-09-25 23:13,,,,,,4,2,4,coffee,100,,
user24,2020-09-26,am,2020-09-26 16:45,2020-09-26 16:45,4,0,2,4,3,,,,,,,
user24,2020-09-26,pm,2020-09-26 23:03,2020-09-26 23:03,,,,,,4,4,1,,,,
user24,2020-09-27,am,2020-09-27 18:38,2020-09-27 18:39,4,0,2,3,4,,,,,,,
